client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,,,Document Name
Flammable service,flammable_service,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Heating coil code stamped,heating_coil_code_stamped,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Lethal,lethal,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Lethal service,lethal_service,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Lethal/toxic service,lethal_toxic_service,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9405_2.pdf
Pressure design code,pressure_design_code,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Structural Code,structural code,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Structural code,structural_code,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9612_0.pdf
Toxic service,toxic_service,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Tube bundle code stamped,tube_bundle_code_stamped,BASIC DESIGN DATA,,,testing_inspection,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Action on control signal failure,action_on_control_signal_failure,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Action on control signal failure: Fan pitch,action_on_control_signal_failure_fan_pitch,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9405_2.pdf
Action on control signal failure: Louvers,action_on_control_signal_failure_louvers,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9405_2.pdf
Actuator air supply,actuator_air_supply,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Air recirculation,air_recirculation,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Degree control of outlet process temp. (Max. Cooling),degree_control_of_outlet_process_temperature_max_cooling,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9360_1.pdf
"Degree control of outlet process temp. (Max. Cooling), /",degree_control_of_outlet_process_temperature_maximum_cooling_slash,CONTROLS - AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9405_2.pdf
