client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,Document Name
Make,make,ANTI CONDENSATION HEATER,,,instrumentation,primary_equipments,,heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3154_0.pdf
Rating: V,rating_v,ANTI CONDENSATION HEATER,,,instrumentation,primary_equipments,,heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3154_0.pdf
Rating: W,rating_w,ANTI CONDENSATION HEATER,,,instrumentation,primary_equipments,,heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3154_0.pdf
Type,type,ANTI CONDENSATION HEATER,,,instrumentation,primary_equipments,,heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3154_0.pdf
Baffles- %Cut (Diam),baffles_percent_cut_diameter,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3315_0.pdf
Baffles- Inlet,baffles_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3315_0.pdf
Baffles- Type,baffles_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Cross,baffles_cross,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Cross %Cut (Diam),baffles_cross_cut_diameter_percentage,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Cross %Cut (Diam),baffles_cross_cut_percentage_diameter,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9352_2.pdf
Baffles-Cross %Cut (Diam),baffles_cross_percent_cut_diameter,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9427_0.pdf"
Baffles-Cross %Cut (Diam),baffles_cross_percentage_cut_diameter,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3407_0.pdf"
Baffles-Cross %Cut (Diam),cross_baffles_cut_percentage_diameter,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3190_1.pdf
Baffles-Cross Inlet,baffles_cross_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Cross Inlet,cross_baffles_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3190_1.pdf
Baffles-Cross Spacing(c/c),baffles_cross_spacing_center_to_center,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Cross Spacing(c/c),cross_baffles_spacing_center_to_center,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3190_1.pdf
Baffles-Cross Type,baffles_cross_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf"
Baffles-Cross Type,cross_baffles_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3190_1.pdf
Baffles-Long,baffles_long,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-S000E3315_0.pdf"
Baffles-Long,baffles_longitude,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9437_0.pdf
Baffles-Long,long_baffles,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3190_1.pdf
Baffles-Long Seal Type,baffles_long_seal_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-S000E3316_0.pdf"
Baffles-Longitudinal,baffles_longitudinal,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Seal Type,baffles_seal_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Baffles-Spacing(c/c),baffles_spacing_c_per_c,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3315_0.pdf
Bundle Entrance,bundle_entrance,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf"
Bundle Exit,bundle_exit,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf"
Bundle Weight,bundle weight,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Bundle Weight,bundle_weight,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9437_0.pdf
Bypass Seal Arrangement,bypass_seal_arrangement,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Channel Cover,channel_cover,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Channel or Bonnet,channel_or_bonnet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Code Requirements,code_requirements,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Connections In,connections_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9352_2.pdf
Connections Intermediate,connections_intermediate,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9352_2.pdf
Connections Out,connections_outlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-L000E9352_2.pdf
Connections Size & Rating In,connections_size_and_rating_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf"
Connections Size & Rating In,connections_size&_rating_inlet,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3638_2.pdf
Connections Size & Rating Intermediate,connections_size_and_rating_intermediate,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf"
Connections Size & Rating Intermediate,connections_size&_rating_intermediate,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3638_2.pdf
