standard_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
baseplate_under,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
coupling_manufacturer,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
integral,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
model,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
ratio,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
separate,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
speed_reducer_manufacturer,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
type,ACCESSORIES,,construction_accessories,primary_equipments,asset,pump
api_pump_type,API PUMP TYPE,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
api_pump_type,API PUMP TYPE,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
api_pump_type,API PUMP TYPE,,construction_accessories,primary_equipments,asset,pump
definition_source,API PUMP TYPE,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
api_675_positive_displacement_pumps_controlled_volume,APPLICABLE SPECIFICATIONS,,equipments,primary_equipments,asset,pump
governing_specification_if_different_nace_mr_0103,APPLICABLE SPECIFICATIONS,,equipments,primary_equipments,asset,pump
governing_specification_if_different_nace_mr_0175,APPLICABLE SPECIFICATIONS,,equipments,primary_equipments,asset,pump
governing_specification_if_different_other,APPLICABLE SPECIFICATIONS,,equipments,primary_equipments,asset,pump
one_cw_fixed_exchange_category_one,ARRANGEMENT 1,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
one_cw_fixed_length_category_one,ARRANGEMENT 1,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
one_cw_fixed_length_category_two_and_three,ARRANGEMENT 1,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
segment_carbon_bushing_category_two_and_three,ARRANGEMENT 1,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
fix_carbon_throttle_bushing,ARRANGEMENT 2,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
two_cw_cs_gas,ARRANGEMENT 2,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
two_cw_cw_liquid,ARRANGEMENT 2,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
two_nc_cs_gas,ARRANGEMENT 2,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
fix_carbon_throttle_bushing,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
flush_connection,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
three_cw_bb_liquid,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
three_cw_fb_liquid,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
three_cw_ff_liquid,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
three_nc_bb_gas,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
three_nc_fb_gas,ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
by_manufacturer,ASME B73.1 CENRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
by_purchaser_or_manufacturer,ASME B73.1 CENRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
vendor,ASME B73.1 CENRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
by_manufacturer,ASME B73.1 CENTRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
by_purchaser_or_manufacturer,ASME B73.1 CENTRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
by_vendor,ASME B73.1 CENTRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,asset,pump
net_positive_suction_head_available,AT DESIGNATED CAPACITY,PUMP ORIENTATION,equipments,primary_equipments,asset,pump
operating_time,AT DESIGNATED CAPACITY,PUMP ORIENTATION,equipments,primary_equipments,asset,pump
initial_boiling_point,AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,asset,pump
initial_boiling_point_at,AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,asset,pump
specific_gravity,AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,asset,pump
specific_heat,AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,asset,pump
vapor_pressure,AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,asset,pump
