possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
PRESSURE-INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
SEAL FACES,seal materials,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE-INSTRUMENTS,,instrumentation,primary_equipments,,pump
SEAL MATERIALS,,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PUMP,,equipments,primary_equipments,,pump
SEAL SPECIFICATIONS,,equipments,auxiliary_equipments,seal_auxiliary_system,pump
MAGNETIC DRIVE PUMPS,,equipments,primary_equipments,,pump
FLOW - INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
MATERIAL INSPECTION,NOTES,testing_inspections,primary_equipments,,pump
PRESSURE DATA,Pump Performance Datasheet,performance,primary_equipments,,pump
CONNECTION LINES,seal auxiliary system,construction_accessories,auxiliary_equipments,seal_auxiliary_system,pump
LEVEL-INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
NOZZLE CONNECTIONS,CONSTRUCTION,nozzles,primary_equipments,,pump
FLOW INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
LEVEL-INSTRUMENTS,,instrumentation,primary_equipments,,pump
OTHER PURCHASED REQUIREMENTS,,others,primary_equipments,,pump
SEAL FACES,SEAL MATERILAS,equipments,auxiliary_equipments,seal_auxiliary_system,pump
LIQUID,,process_fluids,primary_equipments,,pump
SECONDARY SEALS,SEAL MATERILAS,materials,auxiliary_equipments,seal_auxiliary_system,pump
TYPE A,SEAL SPECIFICATION,materials,auxiliary_equipments,seal_auxiliary_system,pump
SITE & UTILITIES,,others,primary_equipments,,pump
BURRIER & BUFFER RESERVOIRS,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
LIQUID CHARACTERISTICS,,process_fluids,primary_equipments,,pump
PUMPED STREAM,fluid data,process_fluids,primary_equipments,,pump
SITE CONDITIONS,,others,primary_equipments,,pump
GENERAL,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
